"","angstrom","value","u","line"
"37",3680,0.05642,0.00992791039321,TRUE
"45",3720,0.048477,0.00851373444601004,TRUE
"48",3735,0.043439,0.0272813931726399,TRUE
"49",3740,0.043801,0.0754038419257601,TRUE
"51",3750,0.045631,0.11131992023296,TRUE
"53",3760,0.053256,0.0277625243168101,TRUE
"54",3765,0.056931,0.01311373103104,TRUE
"55",3770,0.062619,0.19686738276676,TRUE
"57",3780,0.070856,0.14662205923876,TRUE
"58",3785,0.064001,0.12730381377156,TRUE
"60",3795,0.054936,0.34778159084601,TRUE
"61",3800,0.05803,0.26806972227025,TRUE
"62",3805,0.061864,0.0160852654872901,TRUE
"63",3810,0.061519,0.16233558169921,TRUE
"64",3815,0.053658,0.15623117906881,TRUE
"65",3820,0.047117,0.0940359397478401,TRUE
"66",3825,0.045364,0.0165442105504899,TRUE
"67",3830,0.04855,0.13665820086361,TRUE
"68",3835,0.051771,0.55113905167876,TRUE
"69",3840,0.055587,0.0390416500281601,TRUE
"70",3845,0.05996,0.0261964907208899,TRUE
"71",3850,0.060455,0.0320466208464901,TRUE
"72",3855,0.055042,0.0288313268444099,TRUE
"73",3860,0.052759,0.02027588036356,TRUE
"74",3865,0.057344,0.04034345410624,TRUE
"75",3870,0.060567,0.0667552119220901,TRUE
"76",3875,0.05946,0.0421628318288099,TRUE
"78",3885,0.05812,0.30653441268025,TRUE
"79",3890,0.061074,0.41202765047844,TRUE
"81",3900,0.066827,0.02087478825721,TRUE
"82",3905,0.069546,0.0522537081264901,TRUE
"83",3910,0.069339,0.0315235053619601,TRUE
"84",3915,0.065083,0.00878223882496001,TRUE
"87",3930,0.036315,0.0284972550076901,TRUE
"88",3935,0.035699,0.01715782994641,TRUE
"89",3940,0.044612,0.02086664031841,TRUE
"90",3945,0.057245,0.0577978816616099,TRUE
"91",3950,0.068485,0.0954952763336101,TRUE
"92",3955,0.069073,0.0729805362308101,TRUE
"94",3965,0.042779,0.20872964865636,TRUE
"95",3970,0.043522,0.55106763632449,TRUE
"96",3975,0.060966,0.0355999914561601,TRUE
"97",3980,0.079614,0.0165636642600101,TRUE
"98",3985,0.093204,0.0338207547776399,TRUE
"99",3990,0.099828,0.02927476514169,TRUE
"116",4075,0.126757,0.01342727055121,TRUE
"117",4080,0.132272,0.0360074913409599,TRUE
"118",4085,0.15841,0.04098268238724,TRUE
"119",4090,0.173406,0.01329948658756,TRUE
"120",4095,0.158081,0.02821553343504,TRUE
"121",4100,0.139968,0.36283648535281,TRUE
"122",4105,0.146431,0.13920323690025,TRUE
"124",4115,0.15078,0.0320218856515601,TRUE
"125",4120,0.148405,0.02856062820121,TRUE
"164",4315,0.257821,0.01688931568921,TRUE
"165",4320,0.278936,0.0272640529948901,TRUE
"166",4325,0.273888,0.02733701798881,TRUE
"168",4335,0.279591,0.0545738657102499,TRUE
"169",4340,0.259046,0.27370799987521,TRUE
"170",4345,0.277573,0.05179952954401,TRUE
"172",4355,0.314475,0.02178549432081,TRUE
"173",4360,0.330389,0.01772058828969,TRUE
"268",4835,0.584674,0.01205799451921,TRUE
"269",4840,0.592779,0.01505060322481,TRUE
"270",4845,0.598825,0.01212009433569,TRUE
"272",4855,0.564359,0.02504689229641,TRUE
"273",4860,0.530871,0.11640699951409,TRUE
"274",4865,0.535137,0.02719329623521,TRUE
"614",6565,1.492438,0.00970134382115999,TRUE
