"","angstrom","value","u","line"
"37",3680,3.929919,0.00992791039321,TRUE
"45",3720,3.85788,0.00851373444601004,TRUE
"48",3735,3.859249,0.0272813931726399,TRUE
"49",3740,3.932654,0.0754038419257601,TRUE
"51",3750,3.698277,0.11131992023296,TRUE
"53",3760,3.847992,0.0277625243168101,TRUE
"54",3765,3.837884,0.01311373103104,TRUE
"55",3770,3.656492,0.19686738276676,TRUE
"57",3780,4.156175,0.14662205923876,TRUE
"58",3785,4.239368,0.12730381377156,TRUE
"60",3795,3.771449,0.34778159084601,TRUE
"61",3800,3.781272,0.26806972227025,TRUE
"62",3805,4.108153,0.0160852654872901,TRUE
"63",3810,4.31232,0.16233558169921,TRUE
"64",3815,4.287132,0.15623117906881,TRUE
"65",3820,4.231123,0.0940359397478401,TRUE
"66",3825,4.251493,0.0165442105504899,TRUE
"67",3830,3.956963,0.13665820086361,TRUE
"68",3835,3.638875,0.55113905167876,TRUE
"69",3840,3.862265,0.0390416500281601,TRUE
"70",3845,4.186396,0.0261964907208899,TRUE
"71",3850,4.275269,0.0320466208464901,TRUE
"72",3855,4.297747,0.0288313268444099,TRUE
"73",3860,4.287555,0.02027588036356,TRUE
"74",3865,4.214367,0.04034345410624,TRUE
"75",3870,4.132408,0.0667552119220901,TRUE
"76",3875,4.077787,0.0421628318288099,TRUE
"78",3885,3.510681,0.30653441268025,TRUE
"79",3890,3.343251,0.41202765047844,TRUE
"81",3900,3.971993,0.02087478825721,TRUE
"82",3905,4.051331,0.0522537081264901,TRUE
"83",3910,4.052249,0.0315235053619601,TRUE
"84",3915,4.035048,0.00878223882496001,TRUE
"87",3930,3.869964,0.0284972550076901,TRUE
"88",3935,3.792871,0.01715782994641,TRUE
"89",3940,3.874316,0.02086664031841,TRUE
"90",3945,3.885875,0.0577978816616099,TRUE
"91",3950,3.864999,0.0954952763336101,TRUE
"92",3955,3.790621,0.0729805362308101,TRUE
"94",3965,3.18794,0.20872964865636,TRUE
"95",3970,2.958443,0.55106763632449,TRUE
"96",3975,3.239295,0.0355999914561601,TRUE
"97",3980,3.528085,0.0165636642600101,TRUE
"98",3985,3.630838,0.0338207547776399,TRUE
"99",3990,3.670715,0.02927476514169,TRUE
"116",4075,3.313716,0.01342727055121,TRUE
"117",4080,3.325674,0.0360074913409599,TRUE
"118",4085,3.271762,0.04098268238724,TRUE
"119",4090,3.146587,0.01329948658756,TRUE
"120",4095,2.9342,0.02821553343504,TRUE
"121",4100,2.653553,0.36283648535281,TRUE
"122",4105,2.719296,0.13920323690025,TRUE
"124",4115,3.100204,0.0320218856515601,TRUE
"125",4120,3.150913,0.02856062820121,TRUE
"164",4315,2.668254,0.01688931568921,TRUE
"165",4320,2.642617,0.0272640529948901,TRUE
"166",4325,2.620142,0.02733701798881,TRUE
"168",4335,2.307716,0.0545738657102499,TRUE
"169",4340,2.089051,0.27370799987521,TRUE
"170",4345,2.180815,0.05179952954401,TRUE
"172",4355,2.51044,0.02178549432081,TRUE
"173",4360,2.554441,0.01772058828969,TRUE
"268",4835,1.702339,0.01205799451921,TRUE
"269",4840,1.685273,0.01505060322481,TRUE
"270",4845,1.653407,0.01212009433569,TRUE
"272",4855,1.439992,0.02504689229641,TRUE
"273",4860,1.314164,0.11640699951409,TRUE
"274",4865,1.386351,0.02719329623521,TRUE
"614",6565,0.446182,0.00970134382115999,TRUE
